CustomerID,Customer Category,Affiliation Date,Conversion Date
279649,Regular,5/15/2018,5/16/2018
277880,Regular,5/15/2018,5/16/2018
183896,Regular,5/15/2018,8/15/2018
286831,Regular,5/15/2018,5/17/2018
279090,Regular,5/15/2018,5/16/2018
279455,Regular,5/16/2018,5/26/2018
279495,Regular,5/16/2018,5/24/2018
228050,Regular,5/17/2018,5/24/2018
279425,Regular,5/17/2018,6/8/2018
279706,Regular,5/17/2018,5/18/2018
279771,Regular,5/17/2018,5/25/2018
290445,Regular,5/17/2018,5/17/2018
278639,Regular,5/18/2018,5/26/2018
104818,Regular,5/18/2018,7/10/2018
278506,Regular,5/18/2018,6/9/2018
279012,Regular,5/19/2018,5/21/2018
277522,Regular,5/19/2018,5/21/2018
279437,Regular,5/19/2018,6/1/2018
279517,Regular,5/21/2018,12/23/2018
184108,Regular,5/21/2018,5/25/2018
277546,Regular,5/21/2018,5/21/2018
238150,Regular,5/21/2018,6/23/2018
243515,Regular,5/21/2018,5/25/2018
242657,Regular,5/21/2018,5/26/2018
182339,Regular,5/22/2018,5/25/2018
242310,Regular,5/22/2018,7/24/2018
279753,Regular,5/23/2018,10/17/2018
278989,Regular,5/23/2018,7/18/2019
279434,Regular,5/23/2018,5/23/2018
104103,Regular,5/23/2018,5/25/2018
182431,Regular,5/24/2018,5/26/2018
185089,Regular,5/24/2018,6/9/2018
277719,Regular,5/24/2018,6/1/2018
279158,Regular,5/24/2018,5/25/2018
290417,Regular,5/25/2018,11/29/2018
277774,Regular,5/25/2018,6/2/2018
278449,Regular,5/25/2018,7/4/2018
278700,Regular,5/25/2018,9/15/2018
185606,Regular,5/25/2018,5/25/2018
277726,Regular,5/25/2018,6/2/2018
279392,Regular,5/25/2018,12/6/2018
241344,Regular,5/26/2018,3/13/2019
227755,Regular,5/26/2018,6/24/2018
178824,Regular,5/26/2018,5/31/2018
181700,Regular,5/26/2018,7/5/2018
279407,Regular,5/26/2018,5/31/2018
279728,Regular,5/28/2018,5/8/2019
104248,Regular,5/29/2018,5/31/2018
243652,Regular,5/29/2018,6/1/2018
279157,Regular,5/29/2018,6/5/2018
186415,Regular,5/29/2018,6/23/2018
279146,Regular,5/30/2018,6/6/2018
105236,Regular,5/30/2018,7/13/2018
278329,Regular,5/30/2018,2/14/2019
279700,Regular,5/30/2018,5/31/2018
277619,Regular,5/30/2018,6/1/2018
278441,Regular,5/30/2018,6/7/2018
104190,Regular,5/31/2018,6/9/2018
242516,Regular,5/31/2018,6/2/2018
316863,Regular,5/31/2018,6/12/2018
179004,Regular,5/31/2018,6/1/2018
104497,Regular,5/31/2018,6/1/2018
228278,Regular,5/31/2018,6/22/2018
179601,Regular,6/1/2018,6/2/2018
184719,Regular,6/1/2018,6/2/2018
277661,Regular,6/1/2018,4/1/2019
277251,Regular,6/2/2018,6/4/2018
277350,Regular,6/2/2018,7/10/2019
279504,Regular,6/2/2018,6/15/2018
279219,Regular,6/4/2018,6/5/2018
279544,Regular,6/4/2018,6/5/2018
278316,Regular,6/5/2018,8/7/2018
278628,Regular,6/5/2018,6/7/2018
242568,Regular,6/5/2018,6/20/2018
277888,Regular,6/6/2018,6/7/2018
278034,Regular,6/7/2018,6/8/2018
186990,Regular,6/7/2018,6/9/2018
105221,Regular,6/8/2018,11/1/2018
186522,Regular,6/8/2018,6/23/2018
279395,Regular,6/8/2018,6/16/2018
277987,Regular,6/8/2018,6/8/2018
279617,Regular,6/8/2018,6/9/2018
278761,Regular,6/8/2018,6/9/2018
227686,Regular,6/11/2018,8/18/2018
278804,Regular,6/11/2018,6/12/2018
279243,Regular,6/11/2018,6/19/2018
180515,Key,6/11/2018,6/25/2018
242338,Regular,6/11/2018,6/12/2018
227359,Regular,6/12/2018,6/29/2018
278222,Regular,6/12/2018,6/13/2018
279440,Regular,6/12/2018,6/14/2018
105296,Regular,6/12/2018,6/13/2018
278211,Regular,6/12/2018,6/13/2018
278141,Regular,6/12/2018,6/13/2018
278412,Regular,6/12/2018,1/31/2019
280139,Regular,6/13/2018,6/21/2018
277687,Regular,6/14/2018,6/16/2018
279344,Regular,6/14/2018,6/16/2018
280683,Regular,6/14/2018,6/28/2018
186827,Regular,6/14/2018,6/19/2018
180289,Regular,6/15/2018,6/21/2018
278403,Regular,6/15/2018,9/12/2018
277259,Regular,6/15/2018,7/6/2018
184234,Regular,6/15/2018,6/16/2018
278863,Regular,6/15/2018,6/16/2018
179955,Regular,6/15/2018,6/28/2018
277892,Regular,6/15/2018,6/16/2018
181563,Regular,6/18/2018,7/31/2018
104297,Regular,6/18/2018,7/10/2019
182551,Regular,6/18/2018,7/17/2018
227426,Regular,6/18/2018,6/19/2018
277660,Regular,6/18/2018,8/15/2018
279153,Regular,6/18/2018,11/23/2018
181540,Regular,6/18/2018,11/23/2018
227098,Regular,6/18/2018,6/26/2018
187133,Regular,6/19/2018,6/22/2018
179593,Regular,6/19/2018,6/20/2018
186468,Regular,6/19/2018,7/24/2018
278832,Regular,6/19/2018,6/23/2018
279376,Regular,6/19/2018,6/20/2018
243716,Regular,6/20/2018,7/12/2018
